Titles,Imdb ratings,Release Year
The Gold Rush,8.1,1925
"Monsters, Inc.",8.1,2001
Wild Tales,8.1,2014
The Deer Hunter,8.1,1978
The General,8.1,1926
Sherlock Jr.,8.2,1924
Jaws,8.1,1975
Ratatouille,8.1,2007
How to Train Your Dragon,8.1,2010
On the Waterfront,8.1,1954
Mary and Max,8.1,2009
The Wages of Fear,8.1,1953
Wild Strawberries,8.1,1957
Ford v Ferrari,8.1,2019
The Third Man,8.1,1949
Mr,8.1,1939
Logan,8.1,2017
Tokyo Story,8.1,1953
Rocky,8.1,1976
The Big Lebowski,8.1,1998
The Seventh Seal,8.1,1957
Room,8.1,2015
Spotlight,8.1,2015
The Terminator,8.1,1984
Hotel Rwanda,8.1,2004
Platoon,8.1,1986
La haine,8.1,1995
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003
Before Sunset,8.1,2004
The Passion of Joan of Arc,8.1,1928
Jai Bhim,8.7,2021
The Best Years of Our Lives,8.1,1946
The Exorcist,8.1,1973
Rush,8.1,2013
The Incredibles,8.0,2004
The Wizard of Oz,8.1,1939
Network,8.1,1976
Stand by Me,8.1,1986
Hachi: A Dog's Tale,8.1,2009
The Sound of Music,8.1,1965
My Father and My Son,8.2,2005
The Handmaiden,8.1,2016
To Be or Not to Be,8.1,1942
Into the Wild,8.1,2007
The Battle of Algiers,8.1,1966
The Grapes of Wrath,8.1,1940
Groundhog Day,8.0,1993
The Iron Giant,8.1,1999
Amores Perros,8.0,2000
Rebecca,8.1,1940
The Help,8.1,2011
Cool Hand Luke,8.1,1967
It Happened One Night,8.1,1934
"Paris, Texas",8.1,1984
Autumn Sonata,8.1,1978
Andhadhun,8.2,2018
